ID;latitude;longitude;tags
63572138;40.3351547;23.9228056;[]
63572353;40.3200379;23.9058645;[]
63572843;40.3191521;23.9229077;[]
63573181;40.3266844;23.8841605;[]
63573248;40.3093436;23.9348628;[]
63573444;40.3112755;23.9477438;[]
63573516;40.3101258;23.948872;[]
63573533;40.336125;23.8965132;[]
63573827;40.3419579;23.9153208;[]
63574054;40.3119224;23.9210708;[]
63574398;40.3205837;23.9045491;[]
63574417;40.3346233;23.9219144;[]
63575270;40.3269947;23.8840515;[]
63575425;40.3084065;23.93503;[]
63575480;40.3119463;23.9471044;[]
63575725;40.3364913;23.8976361;[]
63575927;40.3364553;23.9000618;[]
63576093;40.3410676;23.9144795;[]
63576204;40.3134545;23.9174904;[]
63576239;40.335855;23.8854717;[]
63576632;40.335505;23.885489;[]
63576640;40.3253293;23.8893239;[]
63577020;40.3297688;23.9233401;[]
63577279;40.3176115;23.9324855;[]
63577323;40.3181957;23.9076334;[]
63577435;40.3088846;23.9377636;[]
63577484;40.3406759;23.9168555;[]
63577768;40.30914;23.9476596;[]
63577790;40.3411829;23.9168796;[]
63578160;40.3358418;23.8851858;[]
63578221;40.3343558;23.9235015;[]
63578411;40.335435;23.8855626;[]
63578546;40.3188085;23.9061843;[]
63578779;40.3170448;23.9273889;[]
63578851;40.3117956;23.9248688;[]
63578982;40.3177069;23.9271682;[]
63579218;40.326624;23.8888767;[]
63579253;40.3083746;23.9407228;[]
63579402;40.3098968;23.9479493;[]
63579537;40.3356336;23.8964436;[]
63579613;40.3124419;23.9212532;[]
63579706;40.3420609;23.9161061;[]
63580118;40.334656;23.8859745;[]
63580339;40.3301167;23.8826525;[]
63580442;40.3293285;23.9247683;[]
63580760;40.323567;23.8983129;[]
63580828;40.3170312;23.935293;[]
63581191;40.318935;23.9169173;[]
63581496;40.336564;23.9011839;[]
63581905;40.3400069;23.9188135;[]
63581956;40.308718;23.9507659;[]
63582185;40.3349075;23.88618;[]
63582397;40.3290694;23.9241049;[]
63582418;40.3101659;23.931962;[]
63582443;40.3304832;23.8863395;[]
63582707;40.3080594;23.9510525;[]
63582965;40.3192344;23.9164257;[]
63582972;40.3168999;23.9335167;[]
63583300;40.3403605;23.9171479;[]
63583511;40.3088863;23.9463292;[]
63583684;40.3093946;23.9315859;[]
63583809;40.3085301;23.950924;[]
63584027;40.3365611;23.9056537;[]
63584087;40.3287813;23.884523;[]
63584196;40.3219316;23.904306;[]
63584634;40.3272016;23.8841387;[]
63584737;40.321874;23.9018158;[]
63584790;40.3079439;23.9512154;[]
63584838;40.3263387;23.9259391;[]
63584897;40.3177327;23.9370147;[]
63585423;40.3104209;23.934729;[]
63585447;40.33811;23.9173881;[]
63585663;40.3149494;23.9159693;[]
63585771;40.3368695;23.9000489;[]
63586176;40.3177456;23.9358342;[]
63586524;40.3293457;23.8829411;[]
63586721;40.3227299;23.9014363;[]
63586845;40.3289891;23.9254892;[]
63587127;40.3180089;23.9180413;[]
63587142;40.3096814;23.9353059;[]
63587600;40.3166802;23.9179007;[]
63587727;40.33702;23.9003819;[]
63587994;40.3389397;23.9187625;[]
63588159;40.333358;23.8903652;[]
63588604;40.3234651;23.8951459;[]
63588884;40.3170865;23.9375353;[]
63588933;40.3202671;23.9112211;[]
63589065;40.3349263;23.918733;[]
63589149;40.3273464;23.9256385;[]
63589462;40.3386032;23.9086573;[]
63589537;40.311483;23.9294775;[]
63590047;40.3080976;23.9529146;[]
63590131;40.334202;23.8908459;[]
63590687;40.324618;23.8962534;[]
63590947;40.3171929;23.9371577;[]
63591280;40.3373312;23.9172843;[]
63591430;40.3260454;23.9254761;[]
63591443;40.3209179;23.9119963;[]
63591506;40.3114764;23.9296272;[]
63592114;40.3345148;23.8807422;[]
63592161;40.3320301;23.8882681;[]
63592322;40.311997;23.9302043;[]
63592357;40.3341768;23.9197594;[]
63592497;40.3151232;23.9399754;[]
63592564;40.3224751;23.8954114;[]
63592583;40.32002;23.9133052;[]
63593081;40.3224137;23.8986348;[]
63593597;40.3369845;23.9067791;[]
63593646;40.3083093;23.9533153;[]
63593834;40.3119298;23.9297726;[]
63593854;40.3329142;23.8885091;[]
63594140;40.3095093;23.9311512;[]
63594239;40.3231491;23.8942659;[]
63594319;40.3345455;23.8809782;[]
63594587;40.3193798;23.9116111;[]
63594632;40.3277364;23.9247118;[]
63595145;40.3382887;23.9070094;[]
63595176;40.3088377;23.9524417;[]
63595237;40.3345475;23.9198842;[]
63595526;40.333425;23.8817507;[]
63595594;40.3121433;23.9257915;[]
63595724;40.3142296;23.9435012;[]
63595927;40.3205152;23.9077157;[]
63596168;40.3343611;23.8925614;[]
63596184;40.3082727;23.9429443;[]
63596231;40.3235824;23.9231346;[]
63596349;40.32513;23.8939303;[]
63596477;40.3343852;23.9216224;[]
63596770;40.3397849;23.9111374;[]
63596866;40.3338074;23.8808924;[]
63596932;40.3199886;23.907022;[]
63597179;40.3341239;23.9205974;[]
63597245;40.3245547;23.8906686;[]
63597282;40.3118652;23.9261509;[]
63597315;40.3152593;23.9422968;[]
63597612;40.3273132;23.9240656;[]
63597791;40.3255407;23.9233501;[]
63597821;40.3078841;23.9433627;[]
63597890;40.3345259;23.89455;[]
63598450;40.339567;23.908798;[]
63598583;40.3345018;23.921694;[]
63598844;40.3085509;23.9448594;[]
63599283;40.3238525;23.9223697;[]
63599371;40.3130441;23.9440496;[]
63599629;40.3216779;23.9097619;[]
63600693;40.3343806;23.8905507;[]
63600762;40.3357097;23.8858645;[]
63600853;40.3410705;23.9129352;[]
63601166;40.3080191;23.945487;[]
63601674;40.3209514;23.90805;[]
63601927;40.334626;23.8922373;[]
63602105;40.3257477;23.8943807;[]
63602188;40.3139622;23.943237;[]
63602375;40.3345125;23.921614;[]
63602564;40.3403589;23.9114819;[]
63602630;40.31085;23.9291148;[]
63602656;40.3355732;23.8862803;[]
280887423;40.3639864;23.9184376;[name=Trypiti-Amouliani Ferry Terminal]
280887786;40.3636928;23.9183595;[]
280887809;40.334611;23.9196788;[name=Αμμουλιανή]
280887823;40.3627639;23.9181762;[]
280887829;40.3398007;23.9204035;[]
280887833;40.337663;23.920396;[]
280887835;40.3324772;23.9212595;[name=Αμμουλιανή]
1411862085;40.3294591;23.9225524;[]
1411862086;40.3297785;23.9231255;[]
1411862087;40.3313338;23.9226256;[]
1411862088;40.3317526;23.9187298;[]
1411862089;40.3315421;23.9228672;[]
1411862090;40.3318227;23.9230521;[]
1411862091;40.3331813;23.9231574;[]
1411862092;40.3340167;23.919642;[]
1411862093;40.3342838;23.9213287;[]
1411862095;40.3336728;23.9232085;[]
1411862096;40.3350102;23.9230733;[]
1474859048;40.3252871;23.9220471;[]
1474859053;40.3260833;23.8954084;[]
1474859054;40.3262896;23.8953718;[]
1474859056;40.3265621;23.8925499;[]
1474859057;40.3265004;23.925854;[]
1474859058;40.3267136;23.8955761;[]
